date,amount,direction,counterparty,inn,purpose,category,activity
2026-07-01,3740.66,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-01,2615.71,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-02,2399.07,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-02,1503.38,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-03,3729.07,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-03,4931.23,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-04,2562.23,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-04,4137.91,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-05,2228.50,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-05,90000.00,out,Арендодатель ООО «Пассаж»,7701234567,Аренда торговой точки,аренда,операционная
2026-07-05,5742.41,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-06,5985.88,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-06,3023.60,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-07,2383.35,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-07,3320.77,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-08,2160.57,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-08,3764.31,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-09,3782.90,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-09,3945.13,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-10,3071.29,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-10,5391.68,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-10,41116.83,out,Поставщик товаров ООО «Опторг»,5027001122,Оплата поставки товара по счёту,закупка товара,операционная
2026-07-11,3248.97,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-11,3044.01,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-12,4554.72,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-12,3516.92,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-13,3679.35,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-13,5680.89,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-07-14,3102.32,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
