date,amount,direction,counterparty,inn,purpose,category,activity
2026-01-01,8000.00,out,Сервис Такое SaaS,9909112233,Подписка на CRM-систему,подписки,операционная
2026-01-03,278674.27,in,Клиент ООО «Заказчик-2»,7731174184,Оплата по договору оказания услуг,выручка,операционная
2026-01-05,180000.00,out,Арендодатель ЗАО «Бизнес-центр»,7712345678,Аренда офиса,аренда,операционная
2026-01-07,260020.25,in,Клиент ООО «Заказчик-9»,7712057668,Оплата по договору оказания услуг,выручка,операционная
2026-01-12,55000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №778",кредит,финансовая
2026-01-13,249556.80,in,Клиент ООО «Заказчик-7»,7721220931,Оплата по договору оказания услуг,выручка,операционная
2026-01-18,263663.19,in,Клиент ООО «Заказчик-7»,7729393157,Оплата по договору оказания услуг,выручка,операционная
2026-01-25,420000.00,out,ФОТ сотрудников (реестр),,Заработная плата сотрудникам за месяц,зарплата,операционная
2026-01-26,80349.22,in,Клиент ООО «Заказчик-2»,7769193415,Оплата по договору оказания услуг,выручка,операционная
2026-02-01,8000.00,out,Сервис Такое SaaS,9909112233,Подписка на CRM-систему,подписки,операционная
2026-02-05,180000.00,out,Арендодатель ЗАО «Бизнес-центр»,7712345678,Аренда офиса,аренда,операционная
2026-02-11,83789.82,in,Клиент ООО «Заказчик-5»,7735086213,Оплата по договору оказания услуг,выручка,операционная
2026-02-12,55000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №778",кредит,финансовая
2026-02-16,265287.84,in,Клиент ООО «Заказчик-4»,7751571970,Оплата по договору оказания услуг,выручка,операционная
2026-02-20,90289.82,in,Клиент ООО «Заказчик-8»,7789147070,Оплата по договору оказания услуг,выручка,операционная
2026-02-25,420000.00,out,ФОТ сотрудников (реестр),,Заработная плата сотрудникам за месяц,зарплата,операционная
2026-02-25,220129.86,in,Клиент ООО «Заказчик-2»,7745841488,Оплата по договору оказания услуг,выручка,операционная
2026-03-01,8000.00,out,Сервис Такое SaaS,9909112233,Подписка на CRM-систему,подписки,операционная
2026-03-05,180000.00,out,Арендодатель ЗАО «Бизнес-центр»,7712345678,Аренда офиса,аренда,операционная
2026-03-07,206567.87,in,Клиент ООО «Заказчик-9»,7723945130,Оплата по договору оказания услуг,выручка,операционная
2026-03-11,166906.45,in,Клиент ООО «Заказчик-1»,7749658738,Оплата по договору оказания услуг,выручка,операционная
2026-03-12,55000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №778",кредит,финансовая
2026-03-14,179956.29,in,Клиент ООО «Заказчик-2»,7752142425,Оплата по договору оказания услуг,выручка,операционная
2026-03-16,284828.09,in,Клиент ООО «Заказчик-1»,7710164277,Оплата по договору оказания услуг,выручка,операционная
2026-03-24,216679.32,in,Клиент ООО «Заказчик-3»,7794412035,Оплата по договору оказания услуг,выручка,операционная
2026-03-25,420000.00,out,ФОТ сотрудников (реестр),,Заработная плата сотрудникам за месяц,зарплата,операционная
