date,amount,direction,counterparty,inn,purpose,category,activity
2026-07-01,8000.00,out,Сервис Такое SaaS,9909112233,Подписка на CRM-систему,подписки,операционная
2026-07-01,950000.00,out,Поставщик ООО «Субподрядчик Плюс»,5029887766,Предоплата 100% за услуги субподряда по договору №112,закупка услуг,операционная
2026-07-05,180000.00,out,Арендодатель ЗАО «Бизнес-центр»,7712345678,Аренда офиса,аренда,операционная
2026-07-12,55000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №778",кредит,финансовая
2026-07-15,281965.13,in,Клиент ООО «Заказчик-8»,7757973658,Оплата по договору оказания услуг,выручка,операционная
2026-07-16,154593.72,in,Клиент ООО «Заказчик-8»,7782707281,Оплата по договору оказания услуг,выручка,операционная
2026-07-17,274270.37,in,Клиент ООО «Заказчик-2»,7723009845,Оплата по договору оказания услуг,выручка,операционная
2026-07-18,89715.13,in,Клиент ООО «Заказчик-9»,7758732676,Оплата по договору оказания услуг,выручка,операционная
2026-07-20,1100000.00,in,Клиент ООО «Крупный заказчик»,7788990011,Оплата по договору №501 за проект,выручка,операционная
2026-07-25,420000.00,out,ФОТ сотрудников (реестр),,Заработная плата сотрудникам за месяц,зарплата,операционная
2026-07-25,311118.20,out,ФНС России,7727406020,Авансовый платёж УСН 15% за 2 квартал 2026,налоги,операционная
2026-07-27,185424.91,in,Клиент ООО «Заказчик-6»,7700616112,Оплата по договору оказания услуг,выручка,операционная
2026-08-01,8000.00,out,Сервис Такое SaaS,9909112233,Подписка на CRM-систему,подписки,операционная
2026-08-01,250371.87,in,Клиент ООО «Заказчик-1»,7797939285,Оплата по договору оказания услуг,выручка,операционная
2026-08-03,254620.99,in,Клиент ООО «Заказчик-2»,7744678892,Оплата по договору оказания услуг,выручка,операционная
2026-08-05,180000.00,out,Арендодатель ЗАО «Бизнес-центр»,7712345678,Аренда офиса,аренда,операционная
2026-08-05,293393.77,in,Клиент ООО «Заказчик-2»,7791857483,Оплата по договору оказания услуг,выручка,операционная
2026-08-11,233501.89,in,Клиент ООО «Заказчик-5»,7778317529,Оплата по договору оказания услуг,выручка,операционная
2026-08-12,55000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №778",кредит,финансовая
2026-08-23,267212.50,in,Клиент ООО «Заказчик-7»,7776565962,Оплата по договору оказания услуг,выручка,операционная
2026-08-25,420000.00,out,ФОТ сотрудников (реестр),,Заработная плата сотрудникам за месяц,зарплата,операционная
2026-09-01,8000.00,out,Сервис Такое SaaS,9909112233,Подписка на CRM-систему,подписки,операционная
2026-09-05,180000.00,out,Арендодатель ЗАО «Бизнес-центр»,7712345678,Аренда офиса,аренда,операционная
2026-09-09,81576.58,in,Клиент ООО «Заказчик-7»,7757174364,Оплата по договору оказания услуг,выручка,операционная
2026-09-11,284235.09,in,Клиент ООО «Заказчик-2»,7756821714,Оплата по договору оказания услуг,выручка,операционная
2026-09-12,55000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №778",кредит,финансовая
2026-09-19,215593.51,in,Клиент ООО «Заказчик-1»,7794902391,Оплата по договору оказания услуг,выручка,операционная
2026-09-25,420000.00,out,ФОТ сотрудников (реестр),,Заработная плата сотрудникам за месяц,зарплата,операционная
2026-09-25,125829.71,in,Клиент ООО «Заказчик-4»,7730563056,Оплата по договору оказания услуг,выручка,операционная
