date,amount,direction,counterparty,inn,purpose,category,activity
2026-04-01,8000.00,out,Сервис Такое SaaS,9909112233,Подписка на CRM-систему,подписки,операционная
2026-04-05,180000.00,out,Арендодатель ЗАО «Бизнес-центр»,7712345678,Аренда офиса,аренда,операционная
2026-04-12,55000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №778",кредит,финансовая
2026-04-15,163373.47,in,Клиент ООО «Заказчик-6»,7728278884,Оплата по договору оказания услуг,выручка,операционная
2026-04-17,229690.83,in,Клиент ООО «Заказчик-3»,7772990633,Оплата по договору оказания услуг,выручка,операционная
2026-04-25,420000.00,out,ФОТ сотрудников (реестр),,Заработная плата сотрудникам за месяц,зарплата,операционная
2026-04-25,427004.86,out,ФНС России,7727406020,Авансовый платёж УСН 15% за 1 квартал 2026,налоги,операционная
2026-04-26,273223.78,in,Клиент ООО «Заказчик-6»,7723038960,Оплата по договору оказания услуг,выручка,операционная
2026-05-01,8000.00,out,Сервис Такое SaaS,9909112233,Подписка на CRM-систему,подписки,операционная
2026-05-03,163994.08,in,Клиент ООО «Заказчик-3»,7746373081,Оплата по договору оказания услуг,выручка,операционная
2026-05-05,180000.00,out,Арендодатель ЗАО «Бизнес-центр»,7712345678,Аренда офиса,аренда,операционная
2026-05-12,55000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №778",кредит,финансовая
2026-05-16,129707.81,in,Клиент ООО «Заказчик-7»,7770159557,Оплата по договору оказания услуг,выручка,операционная
2026-05-18,225655.95,in,Клиент ООО «Заказчик-8»,7794302754,Оплата по договору оказания услуг,выручка,операционная
2026-05-21,163502.40,in,Клиент ООО «Заказчик-3»,7765119610,Оплата по договору оказания услуг,выручка,операционная
2026-05-25,420000.00,out,ФОТ сотрудников (реестр),,Заработная плата сотрудникам за месяц,зарплата,операционная
2026-05-26,141739.30,in,Клиент ООО «Заказчик-3»,7703322306,Оплата по договору оказания услуг,выручка,операционная
2026-06-01,8000.00,out,Сервис Такое SaaS,9909112233,Подписка на CRM-систему,подписки,операционная
2026-06-05,180000.00,out,Арендодатель ЗАО «Бизнес-центр»,7712345678,Аренда офиса,аренда,операционная
2026-06-10,236017.02,in,Клиент ООО «Заказчик-7»,7767186463,Оплата по договору оказания услуг,выручка,операционная
2026-06-12,55000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №778",кредит,финансовая
2026-06-20,247993.37,in,Клиент ООО «Заказчик-2»,7725423897,Оплата по договору оказания услуг,выручка,операционная
2026-06-23,99223.35,in,Клиент ООО «Заказчик-2»,7783470247,Оплата по договору оказания услуг,выручка,операционная
2026-06-25,420000.00,out,ФОТ сотрудников (реестр),,Заработная плата сотрудникам за месяц,зарплата,операционная
