date,amount,direction,counterparty,inn,purpose,category,activity
2026-07-05,40000.00,out,Арендодатель склада,7755001122,Аренда склада,аренда,операционная
2026-07-08,162480.92,out,Фабрика-производитель «Восток Пром»,2701998877,Оплата производства партии товара,закупка товара,операционная
2026-07-10,252037.55,in,Wildberries,7721617461,"Выплата за реализованный товар (Wildberries), за минусом комиссии",выручка маркетплейс,операционная
2026-07-18,20000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №221",кредит,финансовая
2026-07-25,150000.00,out,ФОТ сотрудников (реестр),,Зарплата сотрудникам за месяц,зарплата,операционная
2026-07-25,139811.16,out,ФНС России,7727406020,Авансовый платёж УСН 6% за 2 квартал 2026,налоги,операционная
2026-07-25,339572.69,in,Ozon,7735642672,"Выплата за реализованный товар (Ozon), за минусом комиссии",выручка маркетплейс,операционная
2026-08-05,40000.00,out,Арендодатель склада,7755001122,Аренда склада,аренда,операционная
2026-08-08,139384.09,out,Фабрика-производитель «Восток Пром»,2701998877,Оплата производства партии товара,закупка товара,операционная
2026-08-10,392787.42,in,Wildberries,7721617461,"Выплата за реализованный товар (Wildberries), за минусом комиссии",выручка маркетплейс,операционная
2026-08-18,20000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №221",кредит,финансовая
2026-08-25,150000.00,out,ФОТ сотрудников (реестр),,Зарплата сотрудникам за месяц,зарплата,операционная
2026-08-25,410237.70,in,Ozon,7735642672,"Выплата за реализованный товар (Ozon), за минусом комиссии",выручка маркетплейс,операционная
2026-09-05,40000.00,out,Арендодатель склада,7755001122,Аренда склада,аренда,операционная
2026-09-08,207519.76,out,Фабрика-производитель «Восток Пром»,2701998877,Оплата производства партии товара,закупка товара,операционная
2026-09-10,494279.71,in,Wildberries,7721617461,"Выплата за реализованный товар (Wildberries), за минусом комиссии",выручка маркетплейс,операционная
2026-09-18,20000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №221",кредит,финансовая
2026-09-25,150000.00,out,ФОТ сотрудников (реестр),,Зарплата сотрудникам за месяц,зарплата,операционная
2026-09-25,268930.03,in,Ozon,7735642672,"Выплата за реализованный товар (Ozon), за минусом комиссии",выручка маркетплейс,операционная
