date,amount,direction,counterparty,inn,purpose,category,activity
2026-01-05,40000.00,out,Арендодатель склада,7755001122,Аренда склада,аренда,операционная
2026-01-08,149696.38,out,Фабрика-производитель «Восток Пром»,2701998877,Оплата производства партии товара,закупка товара,операционная
2026-01-10,196036.49,in,Wildberries,7721617461,"Выплата за реализованный товар (Wildberries), за минусом комиссии",выручка маркетплейс,операционная
2026-01-18,20000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №221",кредит,финансовая
2026-01-25,150000.00,out,ФОТ сотрудников (реестр),,Зарплата сотрудникам за месяц,зарплата,операционная
2026-01-25,216567.12,in,Ozon,7735642672,"Выплата за реализованный товар (Ozon), за минусом комиссии",выручка маркетплейс,операционная
2026-02-05,40000.00,out,Арендодатель склада,7755001122,Аренда склада,аренда,операционная
2026-02-08,236092.51,out,Фабрика-производитель «Восток Пром»,2701998877,Оплата производства партии товара,закупка товара,операционная
2026-02-10,262960.61,in,Wildberries,7721617461,"Выплата за реализованный товар (Wildberries), за минусом комиссии",выручка маркетплейс,операционная
2026-02-18,20000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №221",кредит,финансовая
2026-02-25,150000.00,out,ФОТ сотрудников (реестр),,Зарплата сотрудникам за месяц,зарплата,операционная
2026-02-25,304889.29,in,Ozon,7735642672,"Выплата за реализованный товар (Ozon), за минусом комиссии",выручка маркетплейс,операционная
2026-03-05,40000.00,out,Арендодатель склада,7755001122,Аренда склада,аренда,операционная
2026-03-08,184135.72,out,Фабрика-производитель «Восток Пром»,2701998877,Оплата производства партии товара,закупка товара,операционная
2026-03-10,334599.14,in,Wildberries,7721617461,"Выплата за реализованный товар (Wildberries), за минусом комиссии",выручка маркетплейс,операционная
2026-03-18,20000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №221",кредит,финансовая
2026-03-25,150000.00,out,ФОТ сотрудников (реестр),,Зарплата сотрудникам за месяц,зарплата,операционная
2026-03-25,224709.52,in,Ozon,7735642672,"Выплата за реализованный товар (Ozon), за минусом комиссии",выручка маркетплейс,операционная
